ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NR_076415	NR_076415	Methanococcoides burtonii Franzmann et al. 1993			TYPE			species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;Methanococcoides_burtonii
NR_076407	NR_076407	Methanospirillum hungatei corrig. Ferry et al. 1974 (Approved Lists 1980) emend. Iino et al. 2010			TYPE	ATCC:27890		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;Methanospirillum_hungatei
NR_076373	NR_076373	Methanosphaera stadtmanae Miller and Wolin 1985			TYPE	DSM:3091		species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;Methanosphaera_stadtmanae
NR_076363	NR_076363	Sulfolobus acidocaldarius Brock et al. 1972			TYPE	DSM:639		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus_acidocaldarius
NR_076328	NR_076328	Sulfurisphaera tokodaii (Suzuki et al. 2002) Tsuboi et al. 2018			TYPE	NBRC:100140		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfurisphaera;Sulfurisphaera_tokodaii
NR_076323	NR_076323	Thermoplasma volcanium Segerer et al. 1988			TYPE	ATCC:51530		species			materialSample	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;Thermoplasma_volcanium
NR_076319	NR_076319	Pyrococcus horikoshii Gonzlez et al. 1999			TYPE	JCM:9974		species			materialSample	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus_horikoshii
NR_076318	NR_076318	Haloarcula marismortui (ex Elazari-Volcani 1940) Oren et al. 1990			TYPE	ATCC:43049		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_marismortui
NR_076288	NR_076288	Methanocella paludicola Sakai et al. 2008			TYPE	DSM:17711		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella_paludicola
NR_076261	NR_076261	Thermococcus kodakarensis corrig. Atomi et al. 2005			TYPE	ATCC:BAA-918		species			materialSample	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus_kodakarensis
NR_076231	NR_076231	Methanocella arvoryzae Sakai et al. 2010			TYPE	DSM:22066		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;Methanocella_arvoryzae
NR_076214	NR_076214	Picrophilus torridus Zillig et al. 1996			TYPE	DSM:9790		species			materialSample	Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Picrophilaceae;Picrophilus;Picrophilus_torridus
NR_076184	NR_076184	Methanosarcina acetivorans Sowers et al. 1986			TYPE			species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina_acetivorans
NR_076181	NR_076181	Pyrococcus furiosus Fiala and Stetter 1986			TYPE	DSM:3638		species			materialSample	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus_furiosus
NR_076180	NR_076180	Methanopyrus kandleri Kurr et al. 1992			TYPE			species			materialSample	Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus;Methanopyrus_kandleri
NR_076159	NR_076159	Archaeoglobus fulgidus Stetter 1988			TYPE	DSM:4304		species			materialSample	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus_fulgidus
NR_076158	NR_076158	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000			TYPE			species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;Methanothermobacter_thermautotrophicus
