ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NG_062995	NG_062995	Verruconis gallopava (W.B. Cooke) Samerpitak & de Hoog, 2014			TYPE	CBS:437.64		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporomycetidae;Venturiales;Sympoventuriaceae;Verruconis;Verruconis_gallopava
NG_062992	NG_062992	Paradendryphiella arenariae (Nicot) Woudenb. & Crous, 2013			TYPE	CBS:181.58		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Pleosporaceae;Paradendryphiella;Paradendryphiella_arenariae
NG_062984	NG_062984	Verruconis calidifluminalis (Yarita, Sano, de Hoog & Nishim.) Samerpitak & de Hoog, 2014			TYPE	CBS:125818		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporomycetidae;Venturiales;Sympoventuriaceae;Verruconis;Verruconis_calidifluminalis
NG_062983	NG_062983	Fonsecaea minima V.A. Vicente, Najafz., J.F. Sun & de Hoog, 2013			HOLOTYPE	CBS:125760		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Herpotrichiellaceae;Fonsecaea;Fonsecaea_minima
NG_062982	NG_062982	Exophiala crusticola S.T. Bates, G.S.N. Reddy & Garcia-Pichel, 2006			HOLOTYPE	CBS:119970		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala_crusticola
NG_062981	NG_062981	Cladophialophora immunda Badali, M.M. Satow, Prenaf.-Boldú & de Hoog, 2008			TYPE	CBS:834.96		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_immunda
NG_062979	NG_062979	Apiotrichum gamsii (Middelhoven, Scorzetti, Sigler & Fell) A.M. Yurkov & Boekhout, 2015			TYPE	CBS:8245		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum;Apiotrichum_gamsii
NG_062978	NG_062978	Tremella taiwanensis Chee J. Chen, 1998			TYPE	CBS:8479		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Tremellaceae;Tremella;Tremella_taiwanensis
NG_062977	NG_062977	Pseudotremella nivalis (Chee J. Chen) Xin Zhan Liu, F.Y. Bai, M. Groenew. & Boekhout, 2015			TYPE	CBS:8487		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Bulleraceae;Pseudotremella;Pseudotremella_nivalis
NG_062976	NG_062976	Phaeotremella neofoliacea (Chee J. Chen) Millanes & Wedin, 2015			TYPE	CBS:8475		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Phaeotremellaceae;Phaeotremella;Phaeotremella_neofoliacea
